model,pred,segment,value,n,rmse,mae,mape,bias
xgb_no_lag,prediction_calibrated,month,7,155,788062.9432168967,587008.0611823889,0.20204480846540476,-75438.11874332534
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,7,155,1035522.786931992,723051.505569992,0.24413470341777338,51839.63793773485
xgb_no_lag,prediction_calibrated,month,8,155,959461.0727214057,714854.0620864092,0.25846388557342914,30345.421061114317
xgb,prediction_calibrated,month,8,155,966993.6229234319,710479.8291254449,0.2551444087375958,-11487.482041092266
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,8,155,1042243.1767051822,827823.9268602513,0.3123692319510302,75795.330423987
xgb_no_lag_residual,prediction_calibrated,month,8,155,1049333.7058770785,836199.9080214414,0.315068635046352,53400.645031043285
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,8,155,1171235.9111905403,919612.1010656791,0.3449072868582386,180825.31507926606
xgb_no_lag_residual,prediction_calibrated,month,9,150,761294.6517408462,553400.175958203,0.2194197790514052,12530.71752414691
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,9,150,765735.170699641,558588.3397845571,0.22087724292415223,17228.09020908714
xgb_no_lag,prediction_calibrated,month,9,150,784055.2013075548,545114.1829295848,0.20805653575730318,-37170.07266561726
xgb,prediction_calibrated,month,9,150,847748.0371928058,623660.2521291887,0.24555913945345917,114613.84799137647
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,9,150,888585.8518659876,658637.4290651008,0.2652773298608927,25932.422340019544
xgb_no_lag,prediction_calibrated,odd_year_q4_pressure_flag,0,1279,816459.8466142016,592350.7199326624,0.2203588331847643,-94621.13988953475
xgb_no_lag_residual_no_marketing,prediction_calibrated,odd_year_q4_pressure_flag,0,1279,831884.4558002441,592372.0653754652,0.22122988989651446,-70334.42296147514
xgb_no_lag_residual,prediction_calibrated,odd_year_q4_pressure_flag,0,1279,834753.9442937967,594135.8638048021,0.22194198778621532,-72876.89379650683
xgb,prediction_calibrated,odd_year_q4_pressure_flag,0,1279,850492.2668228548,622542.3269974362,0.23271979533207365,-106114.47228391646
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,odd_year_q4_pressure_flag,0,1279,958714.1359367417,687269.5171272346,0.2587384276695454,-17991.289990544356
xgb_no_lag,prediction_calibrated,odd_year_q4_pressure_flag,1,184,504971.81962503504,389600.07771558786,0.2368704841788347,28216.367063367252
xgb_no_lag_residual,prediction_calibrated,odd_year_q4_pressure_flag,1,184,568894.9672576624,431458.5656164892,0.24416352413452724,-57558.13235076177
xgb_no_lag_residual_no_marketing,prediction_calibrated,odd_year_q4_pressure_flag,1,184,574621.493826377,430571.959018752,0.24241689189193022,-56730.71852379157
xgb,prediction_calibrated,odd_year_q4_pressure_flag,1,184,604969.7818133214,457414.668727382,0.28179549864990844,118172.46550201999
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,odd_year_q4_pressure_flag,1,184,730946.5313518515,558401.7405498157,0.31696377982390034,-56145.96569489095
xgb_no_lag,prediction_calibrated,post_tet_window,0,1421,787034.8377746855,568827.7362177166,0.2225251614825601,-78348.44490803932
xgb_no_lag_residual_no_marketing,prediction_calibrated,post_tet_window,0,1421,805798.7117149128,572640.7613951138,0.22386657654878842,-64698.92777056301
xgb_no_lag_residual,prediction_calibrated,post_tet_window,0,1421,808224.1706037906,574244.5016672302,0.22461656435069258,-66879.43542840378
xgb,prediction_calibrated,post_tet_window,0,1421,825407.3307142545,603276.3558705153,0.23923055731166784,-73921.78997180137
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,post_tet_window,0,1421,937769.2973888883,674524.2440487625,0.26639020582284684,-21332.43945117649
xgb_no_lag,prediction_calibrated,post_tet_window,1,42,678022.9926917054,499970.7601944777,0.21940148251193214,-107035.38487455867
xgb_no_lag_residual,prediction_calibrated,post_tet_window,1,42,732587.4114589631,554445.452634328,0.2288036399282909,-208680.1374883484
xgb_no_lag_residual_no_marketing,prediction_calibrated,post_tet_window,1,42,743092.1197109292,551109.2888622263,0.22484123833163755,-201404.82890796076
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,post_tet_window,1,42,759628.5369465029,553920.9969906625,0.25493576196859274,-72102.8839439139
xgb,prediction_calibrated,post_tet_window,1,42,761680.6190843345,550957.9424656382,0.22743733431965182,-212709.8297339941
xgb_no_lag,prediction_calibrated,pre_tet_window,0,1400,793052.7272172779,573585.9201070957,0.22277419717878374,-84043.03785119223
xgb_no_lag_residual_no_marketing,prediction_calibrated,pre_tet_window,0,1400,813263.5686155661,579617.1598577014,0.22515439590583652,-67883.44704176563
xgb_no_lag_residual,prediction_calibrated,pre_tet_window,0,1400,815193.3267884545,581067.9048176514,0.22582933350684242,-70251.68261516163
