feature,split_importance
aux_avg_promo_discount_value_year1,23
aux_review_rows_month_dow_mean,23
aux_mean_sell_through_rate_year1,22
aux_unique_customers_lag548,22
aux_promo_item_share_week_mean,22
aux_cat_share_streetwear_week_mean,22
aux_mean_sell_through_rate_lag730,21
aux_avg_promo_discount_value_roll30_548,21
aux_cat_share_streetwear_roll30_730,21
aux_avg_discount_rate_year1,21
aux_avg_discount_rate_week_mean,21
aux_mean_sell_through_rate_roll30_548,21
aux_sessions_month_dow_mean,21
aux_return_qty_year2,21
aux_net_item_sales_roll30_730,20
aux_avg_discount_rate_roll30_548,20
aux_unique_customers_month_dow_mean,20
aux_shipping_fee_roll30_730,20
aux_review_rows_year2,20
aux_avg_promo_discount_value_lag730,20
aux_promo_item_share_roll30_548,20
aux_avg_promo_discount_value_roll30_730,19
aux_unique_customers_lag730,19
aux_active_promos_roll30_548,19
aux_refund_amount_week_mean,17
aux_avg_promo_discount_value_month_dow_mean,17
aux_avg_discount_rate_month_dow_mean,17
aux_promo_item_share_year2,17
aux_shipments_roll30_548,17
aux_sessions_roll30_730,16
aux_units_week_mean,16
aux_mean_sell_through_rate_year2,16
aux_avg_discount_rate_roll30_730,16
aux_overstock_ratio_month_dow_mean,16
aux_cat_share_outdoor_week_mean,15
aux_stockout_ratio_week_mean,15
aux_sessions_lag730,15
aux_promo_item_share_month_dow_mean,15
aux_promo_item_share_roll30_730,15
aux_avg_discount_rate_lag730,15
aux_mean_fill_rate_week_mean,15
aux_payment_value_year1,14
aux_promo_item_share_doy_mean,14
aux_return_qty_lag730,14
aux_overstock_ratio_lag548,14
aux_mean_days_of_supply_month_dow_mean,13
aux_review_rows_lag548,13
aux_avg_discount_rate_lag548,13
aux_unique_customers_year2,12
aux_page_views_month_dow_mean,12
aux_unique_customers_week_mean,12
aux_promo_item_share_year1,12
aux_mean_days_of_supply_year2,12
aux_order_count_roll30_730,12
aux_promo_item_share_lag548,12
aux_sessions_week_mean,12
aux_stockout_ratio_month_dow_mean,12
aux_units_roll30_730,12
aux_return_qty_week_mean,11
aux_review_rows_lag730,11
aux_overstock_ratio_year2,11
aux_payment_value_year2,11
aux_net_item_sales_roll30_548,11
aux_cat_share_casual_month_mean,11
aux_conversion_order_per_session_month_mean,11
aux_shipments_roll30_730,11
aux_returned_status_share_month_mean,11
aux_review_rows_week_mean,11
aux_cat_share_outdoor_roll30_730,11
aux_mean_sell_through_rate_month_dow_mean,10
aux_payment_value_lag548,10
aux_gross_sales_roll30_548,10
aux_avg_discount_rate_year2,9
aux_active_promos_week_mean,9
aux_credit_card_share_month_mean,9
